ntrio s.gamma s.pi e.gamma e.pi m1
1024 1.5 0.02 4.58752522443386 0.0663426004886229 MCMC
1024 1.5 0.055 4.51559490959488 0.0669275851967538 MCMC
1024 1.5 0.09 4.8989439079027 0.0665349945876631 MCMC
1024 1.5 0.125 4.98940808704288 0.0684956294286725 MCMC
1024 3 0.02 5.04368858610502 0.0653578405665568 MCMC
1024 3 0.055 5.7397159889114 0.0647086316509519 MCMC
1024 3 0.09 5.95983821686177 0.0688784664644566 MCMC
1024 3 0.125 6.09169252573944 0.0742664914915451 MCMC
1024 4.5 0.02 5.04354570997013 0.0657643375274392 MCMC
1024 4.5 0.055 5.91614399595863 0.0690241307678824 MCMC
1024 4.5 0.09 6.45430447230029 0.0822056515226215 MCMC
1024 4.5 0.125 6.82299943553441 0.099764631113554 MCMC
1024 6 0.02 5.39170646980793 0.0675999752388321 MCMC
1024 6 0.055 6.46386596972607 0.0734378636974379 MCMC
1024 6 0.09 8.08845039663091 0.0871878778299889 MCMC
1024 6 0.125 8.79871589629673 0.10477118547323 MCMC
1024 7.5 0.02 5.50282535410269 0.067798927977083 MCMC
1024 7.5 0.055 8.2932339439409 0.0878233163741658 MCMC
1024 7.5 0.09 9.13429627692263 0.101963227026482 MCMC
1024 7.5 0.125 9.23498984618722 0.133110046649495 MCMC
1024 9 0.02 5.50376821219442 0.0672784058196392 MCMC
1024 9 0.055 7.8817016717245 0.0905232608929033 MCMC
1024 9 0.09 9.53509229266686 0.101567710439586 MCMC
1024 9 0.125 10.7561388880744 0.126092367178641 MCMC
1024 10.5 0.02 6.79122332055472 0.0632990206694463 MCMC
1024 10.5 0.055 9.22067183246847 0.0848034340936508 MCMC
1024 10.5 0.09 10.832561595317 0.117324042590694 MCMC
1024 10.5 0.125 10.9476454054251 0.13570343486731 MCMC
1024 12 0.02 6.5385865660537 0.0638621005553506 MCMC
1024 12 0.055 10.890823504418 0.086281274769014 MCMC
1024 12 0.09 12.5751850940414 0.104226039037709 MCMC
1024 12 0.125 13.2736884289127 0.126152852481852 MCMC
1024 13.5 0.02 6.82626044150034 0.0703985055544749 MCMC
1024 13.5 0.055 10.9463234798523 0.0948799934685777 MCMC
1024 13.5 0.09 12.8012359673566 0.111842868526216 MCMC
1024 13.5 0.125 14.5750956701771 0.126047047458833 MCMC
1024 15 0.02 8.31655510413698 0.0618272059892203 MCMC
1024 15 0.055 13.0341491505256 0.0833409435184214 MCMC
1024 15 0.09 15.2135384426216 0.099741041484591 MCMC
1024 15 0.125 15.5679630894722 0.131439703840781 MCMC
1024 16.5 0.02 8.26491880766325 0.0629261966078701 MCMC
1024 16.5 0.055 13.3896557957431 0.0841024142269139 MCMC
1024 16.5 0.09 16.2916791568256 0.0995211300470918 MCMC
1024 16.5 0.125 16.2132777975582 0.137807923887821 MCMC
1024 18 0.02 9.08609600975831 0.066088749722245 MCMC
1024 18 0.055 14.1003422599843 0.0817271027058149 MCMC
1024 18 0.09 17.7421185723771 0.0999193035986069 MCMC
1024 18 0.125 17.8262372923928 0.134517159174818 MCMC
1024 19.5 0.02 12.2271998901483 0.0480640664564931 MCMC
1024 19.5 0.055 15.6008674326205 0.0729708484325945 MCMC
1024 19.5 0.09 18.7437491036659 0.0945884214867473 MCMC
1024 19.5 0.125 20.1284416145087 0.126333180424854 MCMC
1024 21 0.02 12.7928026306735 0.0569317314163419 MCMC
1024 21 0.055 19.3662175602748 0.0655068805901293 MCMC
1024 21 0.09 20.7824103838513 0.0929537274756743 MCMC
1024 21 0.125 22.3938382161134 0.119244509992706 MCMC
1024 22.5 0.02 14.4371120146048 0.0451219836113508 MCMC
1024 22.5 0.055 20.1183822834323 0.0711414134487031 MCMC
1024 22.5 0.09 21.6961717141109 0.0972546492746688 MCMC
1024 22.5 0.125 22.123011759857 0.125046347495683 MCMC
10000 1.5 0.02 2.52699250423648 0.0563617866705763 MCMC
10000 1.5 0.055 2.73998654512195 0.0551905625785058 MCMC
10000 1.5 0.09 2.85348796325649 0.0573222984584447 MCMC
10000 1.5 0.125 2.89761287855368 0.0684350627787159 MCMC
10000 3 0.02 3.02284863653832 0.0554744557152171 MCMC
10000 3 0.055 3.65932031029798 0.0755683129474103 MCMC
10000 3 0.09 4.07586389173823 0.0944899523066666 MCMC
10000 3 0.125 4.04622340712371 0.117798428890595 MCMC
10000 4.5 0.02 3.85046082454057 0.0536381396825988 MCMC
10000 4.5 0.055 6.14143211743759 0.0487253691587392 MCMC
10000 4.5 0.09 6.10329421656476 0.0765151627194933 MCMC
10000 4.5 0.125 6.22259821062183 0.0989056797031453 MCMC
10000 6 0.02 6.02095824294857 0.0348513258077936 MCMC
10000 6 0.055 7.5275023357756 0.0495315580170488 MCMC
10000 6 0.09 7.77967825958632 0.073306776839507 MCMC
10000 6 0.125 7.76623834304653 0.101841431459081 MCMC
10000 7.5 0.02 8.76160786050185 0.0223682603133942 MCMC
10000 7.5 0.055 9.23116770301082 0.0496291140801015 MCMC
10000 7.5 0.09 9.43657685977464 0.0761566717644576 MCMC
10000 7.5 0.125 9.16018335824797 0.107033731564844 MCMC
10000 9 0.02 10.723688256299 0.018737231153473 MCMC
10000 9 0.055 10.9011663809037 0.0465012438126903 MCMC
10000 9 0.09 10.8701607357945 0.0779767493068467 MCMC
10000 9 0.125 10.9770238425838 0.105315570983662 MCMC
10000 10.5 0.02 13.0837191494133 0.0192840301207399 MCMC
10000 10.5 0.055 12.1388733833497 0.0493734618582131 MCMC
10000 10.5 0.09 12.0924699762742 0.0800186416077926 MCMC
10000 10.5 0.125 12.1258908890871 0.110377567273789 MCMC
10000 12 0.02 12.9805292829237 0.0194502390581767 MCMC
10000 12 0.055 13.877641496902 0.0478601074934716 MCMC
10000 12 0.09 13.549649576814 0.0815125488573459 MCMC
10000 12 0.125 13.5890895881099 0.113046301408075 MCMC
10000 13.5 0.02 14.4960658125563 0.0188868697287032 MCMC
