ntrio s.gamma s.pi e.gamma e.pi m1
1024 1.5 0.02 4.38629444865668 0.0572940414733629 MCMC
1024 1.5 0.065 4.09657569884692 0.0613148030105119 MCMC
1024 3 0.02 4.26700727208443 0.0625426838566329 MCMC
1024 3 0.065 5.23521622350662 0.0682858719130641 MCMC
1024 4.5 0.02 4.32331698145638 0.0579684069719659 MCMC
1024 4.5 0.065 5.05440800295622 0.0677641619736088 MCMC
1024 10 0.02 6.0470707338459 0.0672782503456693 MCMC
1024 10 0.065 9.02137318609474 0.0971599769122739 MCMC
1024 10 0.11 9.5260339711765 0.132956823638859 MCMC
1024 11.5 0.02 6.2374664999433 0.0654003168631219 MCMC
1024 11.5 0.065 10.4002327627624 0.0863476612358858 MCMC
1024 11.5 0.11 11.4601182989561 0.120651317831305 MCMC
1024 13 0.02 7.43323970668956 0.0623026922527462 MCMC
1024 13 0.065 10.7235247236851 0.097929413318524 MCMC
1024 13 0.11 13.9392015543075 0.111948207446296 MCMC
1024 14.5 0.02 9.52482821714774 0.0526315640390837 MCMC
1024 14.5 0.065 15.1294266338374 0.0725932062963501 MCMC
1024 14.5 0.11 15.3140560411813 0.113590209271643 MCMC
2332 1.5 0.02 3.78877400078418 0.0559349802908234 MCMC
2332 1.5 0.065 3.87385663209177 0.0589408408136093 MCMC
2332 3 0.02 4.00771976639997 0.0516990774935465 MCMC
2332 3 0.065 4.18408725312542 0.0595457917585609 MCMC
2332 4.5 0.02 3.84030696342956 0.0543869265547466 MCMC
2332 4.5 0.065 5.5013761978572 0.0710846609527351 MCMC
10000 1.5 0.02 2.84096660856106 0.0431407124869671 MCMC
10000 1.5 0.065 2.42262586016325 0.0557145245146331 MCMC
10000 3 0.02 2.74932269825148 0.0495267273502304 MCMC
10000 3 0.065 3.25042422896847 0.0718798983065467 MCMC
10000 4.5 0.02 3.84074679919765 0.0453160870049212 MCMC
10000 4.5 0.065 4.59609621621289 0.0683196041230612 MCMC
1024 1.5 0.02 1.21096012994569 0.448892447291166 MOM
1024 1.5 0.065 1.19075994389361 0.448892447291166 MOM
1024 3 0.02 1.53421978424783 0.101948225246864 MOM
1024 3 0.065 1.61685703753682 0.22738190552442 MOM
1024 4.5 0.02 1.82980429729808 0.0432345876701361 MOM
1024 4.5 0.065 3.22560606477671 0.0712570056044835 MOM
1024 10 0.02 8.56200065362117 0.0352281825460368 MOM
1024 10 0.065 11.2680368746022 0.0579129970643181 MOM
1024 10 0.11 8.8515218498013 0.139311449159327 MOM
1024 11.5 0.02 9.06912467533779 0.0298905791299706 MOM
1024 11.5 0.065 9.51850341329229 0.084601014144649 MOM
1024 11.5 0.11 11.2328426683096 0.104617026954897 MOM
1024 13 0.02 11.4020307488494 0.0245529757139045 MOM
1024 13 0.065 12.3613929465272 0.0752602081665332 MOM
1024 13 0.11 13.5852212406467 0.116626634641047 MOM
1024 14.5 0.02 12.4003837666114 0.0205497731518548 MOM
1024 14.5 0.065 20.0907715237058 0.0512409927942354 MOM
1024 14.5 0.11 14.7886238603772 0.101948225246864 MOM
2332 1.5 0.02 5.17518562893958 0.0325593808380037 MOM
2332 1.5 0.065 1.20681181082755 0.294101948225247 MOM
2332 3 0.02 1.4703021413222 0.089938617560715 MOM
2332 3 0.065 1.68128483087772 0.069922604750467 MOM
2332 4.5 0.02 1.75335104361605 0.0992794235388311 MOM
2332 4.5 0.065 6.34107772542875 0.052575393648252 MOM
10000 1.5 0.02 1.16328272765949 0.128636242327195 MOM
10000 1.5 0.065 1.15508381674508 0.315452361889512 MOM
10000 3 0.02 1.47228822896797 0.133973845743261 MOM
10000 3 0.065 2.35704774301129 0.104617026954897 MOM
10000 4.5 0.02 1.76658536280779 0.104617026954897 MOM
10000 4.5 0.065 4.01348792556291 0.0779290098745663 MOM
