"Gene","mut.rate","dn.LoF","case.LoF","ctrl.LoF","trans.LoF","ntrans.LoF","dn.mis3","case.mis3","ctrl.mis3","trans.mis3","ntrans.mis3"
"A1BG","2.355e-05","0","0","1","0","0","0","0","4","7","3"
"A1CF","2.174e-05","0","1","2","1","1","0","0","7","3","7"
"A2LD1","6.09e-06","0","0","0","0","0","0","0","0","0","0"
"A2M","5.64e-05","0","1","5","1","0","0","4","22","6","6"
"A2ML1","5.7e-05","0","3","16","2","6","0","5","30","6","10"
"A4GALT","2.415e-05","0","0","2","1","0","0","1","5","2","1"
"A4GNT","1.32e-05","0","1","1","0","0","0","0","7","5","4"
"AAAS","2.289e-05","0","2","9","2","1","0","3","16","6","0"
"AACS","3.2e-05","0","2","4","2","0","0","6","17","6","7"
"AADAC","1.443e-05","0","1","1","0","1","1","0","3","3","1"
"AADACL2","1.346e-05","0","0","4","3","1","0","2","8","4","3"
"AADACL3","1.464e-05","0","0","2","1","0","0","1","4","6","3"
"AADACL4","1.797e-05","0","0","1","0","0","0","2","10","3","1"
"AADAT","1.474e-05","0","1","3","0","0","0","1","1","0","0"
"AAED1","4.66e-06","0","0","0","0","0","0","1","8","0","0"
"AAGAB","1.059e-05","0","1","5","0","1","0","5","6","14","7"
"AAK1","3.226e-05","0","0","2","1","0","0","4","16","3","0"
"AAMP","1.942e-05","0","0","3","0","0","0","2","7","3","0"
"AANAT","1.247e-05","0","0","0","0","0","0","2","7","2","0"
"AARS","4.31e-05","0","0","4","1","1","0","10","30","3","4"
"AARS2","4.87e-05","0","1","4","2","1","0","6","30","5","9"
"AARSD1","2.246e-05","0","2","6","1","0","1","5","35","8","5"
"AASDH","3.61e-05","0","1","10","1","7","0","5","21","10","7"
"AASDHPPT","1.283e-05","0","0","4","0","1","0","0","2","1","2"
"AASS","3.412e-05","0","2","4","0","0","0","10","20","2","4"
"AATF","2.18e-05","0","3","4","0","0","0","3","8","4","1"
"AATK","5.43e-05","0","0","0","0","0","0","4","15","2","4"
"ABAT","2.545e-05","0","0","0","1","0","0","4","6","1","3"
"ABCA1","8.92e-05","0","1","9","0","2","0","5","29","7","9"
"ABCA10","5e-05","0","6","13","2","2","0","7","29","8","8"
"ABCA12","9.27e-05","0","3","8","1","1","0","14","40","12","12"
"ABCA13","0.00016701","0","8","27","8","14","3","25","102","37","23"
"ABCA2","0.0001435","0","2","2","0","0","1","8","28","12","17"
"ABCA3","9.55e-05","0","0","3","0","0","0","14","33","13","15"
"ABCA4","9.87e-05","0","2","4","0","5","0","17","62","16","21"
"ABCA5","5.07e-05","0","2","8","2","5","0","12","27","10","9"
"ABCA6","5.35e-05","0","0","11","4","3","0","4","21","1","8"
"ABCA7","0.000121","0","7","21","8","9","0","17","76","27","18"
"ABCA8","5.71e-05","0","6","11","4","4","0","13","41","11","13"
"ABCA9","5.63e-05","0","3","28","9","6","0","2","26","5","10"
"ABCB1","4.67e-05","0","1","4","1","0","0","5","13","9","7"
"ABCB10","2.436e-05","0","0","4","1","0","0","1","7","2","0"
"ABCB11","4.83e-05","0","3","1","1","0","0","7","26","7","8"
"ABCB4","4.99e-05","0","0","0","1","0","0","6","21","6","5"
"ABCB5","4.6e-05","0","6","16","1","4","0","9","46","20","15"
"ABCB6","4.42e-05","0","0","5","0","3","0","6","29","2","7"
"ABCB7","2.862e-05","0","0","0","0","0","0","0","0","0","0"
"ABCB8","4.13e-05","0","1","2","0","1","0","4","15","6","10"
"ABCB9","3.94e-05","0","0","2","0","0","0","8","16","7","9"
"ABCC1","8.16e-05","0","0","10","3","2","0","10","42","19","14"
"ABCC10","6.81e-05","0","1","0","0","1","0","13","65","15","11"
"ABCC11","6.03e-05","0","7","7","4","8","0","15","36","10","14"
"ABCC12","5.86e-05","0","2","18","7","6","0","15","53","12","19"
"ABCC2","5.73e-05","0","3","14","3","5","0","9","43","10","13"
"ABCC3","7.15e-05","0","2","9","2","7","0","14","55","19","7"
"ABCC4","5.47e-05","0","1","7","0","0","0","1","19","4","4"
"ABCC5","6.37e-05","0","1","3","1","2","0","8","18","1","11"
"ABCC8","7.64e-05","0","1","3","0","1","0","8","22","3","1"
"ABCC9","5.72e-05","0","1","10","0","0","0","0","17","2","1"
"ABCD1","3.66e-05","0","0","0","0","0","0","0","1","0","0"
"ABCD2","2.601e-05","0","0","4","0","0","0","1","3","0","5"
"ABCD3","2.608e-05","0","0","1","1","0","0","5","8","4","2"
"ABCD4","2.975e-05","0","4","6","0","0","0","3","23","3","0"
"ABCE1","2.118e-05","0","0","0","0","0","0","0","2","0","0"
"ABCF1","3.74e-05","0","2","4","0","0","1","2","6","2","1"
"ABCF2","2.617e-05","0","1","0","0","0","0","3","4","0","1"
"ABCF3","3.79e-05","0","1","2","0","1","0","4","21","4","6"
"ABCG1","3.76e-05","0","0","1","2","0","0","8","10","4","4"
"ABCG2","2.456e-05","0","2","6","2","0","0","3","17","7","2"
"ABCG4","3.31e-05","0","0","6","0","0","0","1","11","5","8"
"ABCG5","2.918e-05","0","1","4","0","2","0","5","16","6","11"
"ABCG8","3.21e-05","0","3","6","5","2","0","8","37","6","7"
"ABHD1","1.745e-05","0","1","3","1","1","0","2","11","2","3"
"ABHD10","1.316e-05","0","0","0","0","0","0","2","1","0","1"
"ABHD11","1.919e-05","0","1","3","0","0","0","2","6","1","0"
"ABHD12","1.624e-05","0","2","1","0","1","0","4","21","2","1"
"ABHD12B","9.23e-06","0","4","2","0","0","0","1","9","4","0"
"ABHD13","1.161e-05","0","0","0","0","0","0","1","2","3","1"
"ABHD14A","9.6e-06","0","0","1","0","0","0","2","18","2","3"
"ABHD14B","9.1e-06","0","0","3","1","1","0","0","2","0","0"
"ABHD15","2.708e-05","0","0","3","1","0","0","1","11","2","1"
"ABHD16A","2.249e-05","0","0","0","0","0","0","3","9","1","0"
"ABHD16B","2.148e-05","0","0","0","0","1","0","2","6","0","3"
"ABHD2","2.087e-05","0","1","0","0","0","0","1","3","1","0"
"ABHD3","1.657e-05","0","0","3","1","1","0","0","9","0","1"
"ABHD4","1.629e-05","0","0","1","0","0","0","0","6","5","4"
"ABHD5","1.272e-05","0","1","1","0","2","0","2","3","1","0"
"ABHD6","1.42e-05","0","1","2","0","0","0","2","3","0","0"
"ABHD8","3.05e-05","0","0","2","0","0","0","0","1","1","0"
"ABI1","1.861e-05","0","0","0","0","0","0","1","17","2","2"
"ABI2","1.933e-05","0","0","0","0","0","1","3","7","3","1"
"ABI3","1.522e-05","0","0","0","0","0","0","2","2","0","2"
"ABI3BP","3.621e-05","0","1","5","2","2","1","7","48","5","8"
"ABL1","6.02e-05","0","0","0","0","0","0","4","13","2","5"
"ABL2","4.43e-05","0","0","8","1","0","0","6","29","4","9"
"ABLIM1","3.51e-05","0","0","0","1","1","0","4","19","8","11"
"ABLIM2","3.13e-05","0","0","2","0","0","0","18","35","7","8"
"ABLIM3","3.24e-05","0","1","1","0","0","0","4","40","4","12"
"ABO","1.41e-05","0","0","0","0","0","0","0","0","0","0"
"ABP1","3.98e-05","0","0","6","2","0","0","8","28","14","9"
"ABR","4.17e-05","0","0","0","0","1","0","7","4","1","1"
"ABRA","1.69e-05","0","0","1","1","0","0","2","10","5","1"
"ABRACL","3.239e-06","0","0","0","0","0","0","0","0","0","0"
"ABT1","1.861e-05","0","1","1","0","0","0","2","5","1","1"
"ABTB1","2.028e-05","0","1","2","2","0","0","3","13","2","4"
"ABTB2","4.69e-05","0","0","1","0","0","0","3","13","6","4"
"ACAA1","1.699e-05","0","0","1","1","0","0","3","11","1","6"
"ACAA2","1.322e-05","0","0","1","1","0","0","2","12","4","4"
"ACACA","9.24e-05","0","2","2","0","0","0","14","10","8","5"
"ACACB","0.0001295","1","3","5","2","3","1","17","69","31","25"
"ACAD10","4.71e-05","0","0","6","2","2","0","8","37","6","11"
"ACAD11","2.988e-05","0","1","5","1","4","0","6","19","3","2"
"ACAD8","1.823e-05","0","1","5","2","1","0","1","9","4","3"
"ACAD9","3.103e-05","0","2","2","2","1","0","3","18","8","8"
"ACADL","1.403e-05","0","0","2","1","1","0","1","5","1","3"
"ACADM","1.476e-05","0","3","2","0","2","0","2","6","2","1"
"ACADS","2.425e-05","0","0","3","0","0","0","3","13","5","5"
"ACADSB","1.46e-05","0","4","7","2","1","0","3","7","2","2"
"ACADVL","2.98e-05","0","1","2","0","0","0","3","20","8","0"
"ACAN","0.0001051","0","1","2","1","0","0","17","62","18","19"
"ACAP1","3.61e-05","0","1","2","0","0","0","4","13","1","4"
"ACAP2","2.744e-05","0","0","0","0","0","0","1","6","0","1"
"ACAP3","3.26e-05","0","2","1","0","0","0","2","16","3","3"
"ACAT1","1.351e-05","0","1","1","1","0","0","0","8","2","6"
"ACAT2","1.405e-05","0","1","3","0","0","0","1","5","3","0"
"ACBD3","1.657e-05","0","0","0","0","0","0","1","3","0","1"
"ACBD4","1.511e-05","0","2","1","1","2","0","2","8","2","1"
"ACBD5","1.947e-05","0","0","3","0","1","0","4","12","7","6"
"ACBD6","1.077e-05","0","0","0","0","0","0","1","5","0","1"
"ACBD7","3.61e-06","0","1","0","0","0","0","0","5","0","0"
"ACCN1","2.23e-05","0","1","0","0","0","0","2","4","1","1"
"ACCN2","2.28e-05","0","0","0","0","0","0","2","6","1","2"
"ACCN3","2.22e-05","0","1","6","3","0","0","7","10","5","4"
"ACCN4","2.64e-05","0","0","0","0","1","0","2","10","7","3"
"ACCN5","2e-05","0","1","1","0","1","0","0","0","5","0"
"ACCS","2.096e-05","0","0","1","0","0","0","4","9","3","3"
"ACCSL","2.228e-05","0","2","5","0","0","0","3","10","0","1"
"ACD","3.15e-05","0","1","3","0","2","0","2","14","1","0"
"ACE","6.21e-05","0","3","6","0","0","0","14","53","18","20"
