"Gene","mut.rate","dn.LoF","case.LoF","ctrl.LoF","trans.LoF","ntrans.LoF","dn.mis3","case.mis3","ctrl.mis3","trans.mis3","ntrans.mis3","BF.dn","pval.TADA.dn","qvalue.dn"
"SCN2A",7.4e-05,4,2,0,0,0,5,4,26,5,5,615476690.046978,2.66880170803309e-07,2.54545240441217e-08
"SYNGAP1",6.55e-05,6,0,0,0,0,1,3,6,4,2,231597074.4999,2.66880170803309e-07,4.6550369725562e-08
"ARID1B",9.02e-05,4,0,0,0,0,1,5,35,5,8,290115.673942979,2.66880170803309e-07,1.8030544460775e-05
"SUV420H1",3.48e-05,3,0,0,0,0,2,1,5,0,1,146213.232596103,2.66880170803309e-07,4.03073995536574e-05
"DYRK1A",3.119e-05,4,0,0,0,0,0,2,8,0,6,143048.398989376,2.66880170803309e-07,5.41475293795557e-05
"CHD8",9.25e-05,3,4,0,0,0,2,7,29,4,2,63502.3006550486,2.66880170803309e-07,8.62311695960146e-05
"ANK2",0.00014923,3,3,4,2,0,2,24,89,21,17,29180.0818042122,2.66880170803309e-07,0.000150570689743747
"TBR1",3.55e-05,2,0,0,0,1,2,2,5,1,3,6654.38576039662,2.66880170803309e-07,0.000425350244185579
"ADNP",3.92e-05,3,1,0,0,0,0,3,2,0,0,5701.34644342905,2.66880170803309e-07,0.00068257340696117
"GRIN2B",7.3e-05,3,3,1,0,0,0,3,10,0,5,3811.64747118526,2.66880170803309e-07,0.00102365447179922
"KATNAL2",2.003e-05,2,3,4,1,0,0,6,22,1,2,329.61140328574,1.76140912730184e-05,0.00505550920490974
"CUL3",2.977e-05,2,2,0,0,0,0,3,4,1,0,293.459987382023,2.34854550306912e-05,0.00885758456704139
"CACNA2D3",4.37e-05,2,0,0,0,0,0,2,22,4,5,248.9937706715,3.62957032292501e-05,0.0127297202089298
"BCL11A",5.27e-05,2,0,1,0,0,0,1,16,3,1,224.16620414921,4.21670669869229e-05,0.0164864021258492
"MLL3",0.000173773,2,0,0,0,0,1,17,82,14,17,221.971980293991,4.27008273285295e-05,0.0197824037155165
"POGZ",5.66e-05,2,4,0,0,0,0,5,24,6,7,214.248843719188,4.64371497197758e-05,0.0228048143178654
"ASXL3",7.94e-05,2,0,2,0,0,0,6,29,9,5,164.969204888169,5.49773151854817e-05,0.0265651576302132
"ASH1L",0.0001066,2,1,3,0,0,0,11,36,8,10,121.598485555723,6.35174806511876e-05,0.0314301118472202
"MYO9B",0.000108,1,0,1,0,0,2,11,48,15,14,118.739949862102,6.35174806511876e-05,0.0359107229062794
"RELN",0.0001378,1,1,2,1,0,2,24,92,24,18,80.495357837951,8.64691753402722e-05,0.0422611605730675
"APH1A",1.192e-05,1,0,0,0,1,1,0,1,0,3,80.2834268009178,8.70029356818788e-05,0.0480239303928429
"PTEN",1.395e-05,1,1,0,0,0,1,1,4,0,0,78.170630650227,9.39418201227649e-05,0.0534299175018526
"TRIO",0.0001425,1,0,1,2,2,2,16,56,14,30,75.7810744670344,0.000101414464905258,0.0585554970279115
"PYHIN1",1.79e-05,1,0,10,1,2,1,3,8,1,1,74.2293204530929,0.000111022151054177,0.0633771631525424
"GABRB3",2.174e-05,1,2,1,0,0,1,0,2,0,0,70.6024096642766,0.000136642647451294,0.0681061704746542
"NAA15",2.842e-05,1,1,1,0,0,1,2,6,1,0,64.7401970360029,0.000172938350680544,0.0729806410162597
"BIRC6",0.000157418,1,1,3,0,0,2,11,46,17,11,62.6752214864101,0.000187349879903923,0.0776842528412931
"KIAA0182",6.99e-05,0,0,4,1,0,3,17,66,20,19,61.8143491560923,0.000192687483319989,0.0821312462391711
"GALNTL4",3.22e-05,1,1,3,0,0,1,1,12,3,3,61.6571313474314,0.000195890045369629,0.08628572702984
"NR3C2",3.86e-05,1,1,1,0,0,1,2,4,2,5,56.7919118163778,0.000242860955431011,0.0906167189518484
