"Gene","mut.rate","dn.LoF","case.LoF","ctrl.LoF","trans.LoF","ntrans.LoF","dn.mis3","case.mis3","ctrl.mis3","trans.mis3","ntrans.mis3","BF","pval.TADA","qvalue"
"SCN2A",7.4e-05,4,2,0,0,0,5,4,26,5,5,1596280319.26496,2.66880170803309e-07,9.81448322612266e-09
"SYNGAP1",6.55e-05,6,0,0,0,0,1,3,6,4,2,127675314.526348,2.66880170803309e-07,6.62607805290705e-08
"CHD8",9.25e-05,3,4,0,0,0,2,7,29,4,2,484952.791560581,2.66880170803309e-07,1.08123426564669e-05
"ARID1B",9.02e-05,4,0,0,0,0,1,5,35,5,8,162474.62841695,2.66880170803309e-07,3.22132606477843e-05
"ANK2",0.00014923,3,3,4,2,0,2,24,89,21,17,83588.2434168796,2.66880170803309e-07,6.3248919403458e-05
"SUV420H1",3.48e-05,3,0,0,0,0,2,1,5,0,1,80659.6739320877,2.66880170803309e-07,8.50730986236929e-05
"DYRK1A",3.119e-05,4,0,0,0,0,0,2,8,0,6,79189.1137895404,2.66880170803309e-07,0.000101176871502065
"GRIN2B",7.3e-05,3,3,1,0,0,0,3,10,0,5,11552.4314988787,5.33760341606619e-07,0.000257817168783439
"ADNP",3.92e-05,3,1,0,0,0,0,3,2,0,0,8895.58679688845,5.33760341606619e-07,0.000424512667072441
"TBR1",3.55e-05,2,0,0,0,1,2,2,5,1,3,4778.04891758197,5.33760341606619e-07,0.000708878175188987
"POGZ",5.66e-05,2,4,0,0,0,0,5,24,6,7,1636.17024546317,1.60128102481986e-06,0.00150665204214559
"CUL3",2.977e-05,2,2,0,0,0,0,3,4,1,0,758.916555081431,6.40512409927942e-06,0.00306659194129602
"KATNAL2",2.003e-05,2,3,4,1,0,0,6,22,1,2,588.944489775858,7.47264478249266e-06,0.00482392878110689
"BCL11A",5.27e-05,2,0,1,0,0,0,1,16,3,1,161.419205754331,5.97811582599413e-05,0.0107985995630849
"CACNA2D3",4.37e-05,2,0,0,0,0,0,2,22,4,5,138.200329021328,7.25914064585001e-05,0.0168666622348468
"MIB1",3.96e-05,0,7,10,10,0,0,6,11,0,3,134.051839061998,7.57939685081398e-05,0.0223525468689296
"GABRB3",2.174e-05,1,2,1,0,0,1,0,2,0,0,128.566441494308,7.84627702161729e-05,0.0274271300395531
"CTTNBP2",6.14e-05,1,4,1,3,2,0,5,59,10,11,126.92874719534,8.05978115825994e-05,0.0320071759304032
"MLL3",0.000173773,2,0,0,0,0,1,17,82,14,17,125.265725152852,8.1131571924206e-05,0.0361733463239099
"PTEN",1.395e-05,1,1,0,0,0,1,1,4,0,0,122.003723834798,8.48678943154524e-05,0.040054597736644
"RELN",0.0001378,1,1,2,1,0,2,24,92,24,18,103.808830540108,0.000117427275153456,0.0443914597635685
"ASXL3",7.94e-05,2,0,2,0,0,0,6,29,9,5,89.6307490704389,0.00014678409394182,0.0491366166542223
"MYO9B",0.000108,1,0,1,0,0,2,11,48,15,14,84.5895923242284,0.000165465705898052,0.0537944255139122
"ETFB",1.648e-05,1,2,1,2,0,0,1,6,4,4,84.5389617722737,0.000165465705898052,0.0580673734725337
"ASH1L",0.0001066,2,1,3,0,0,0,11,36,8,10,76.0881891301808,0.000193221243661596,0.0625744714772795
"TRIO",0.0001425,1,0,1,2,2,2,16,56,14,30,73.4095540222829,0.000201761409127302,0.0669323509331678
"NAA15",2.842e-05,1,1,1,0,0,1,2,6,1,0,72.8336006905276,0.000203896450493728,0.0710098174661058
"MYT1L",5.53e-05,1,1,0,0,0,1,4,20,2,3,71.876373034187,0.000207099012543368,0.0748651665563418
"NR3C2",3.86e-05,1,1,1,0,0,1,2,4,2,5,63.8707297534002,0.000246597277822258,0.0790757585603619
"APH1A",1.192e-05,1,0,0,0,1,1,0,1,0,3,57.7609465079465,0.000272217774219376,0.0835519685442723
"SETD5",5.43e-05,1,1,1,0,0,1,13,29,17,12,53.6676795967381,0.000302108353349346,0.0881457191495935
"VIL1",3.79e-05,0,2,4,6,4,2,5,31,5,3,52.7847499684804,0.000311182279156659,0.0925434400962878
"CDC42BPB",8.33e-05,1,2,2,0,0,1,6,19,5,6,42.3676352865736,0.000444622364558313,0.0979195566832441
"SPARCL1",2.199e-05,1,1,0,1,0,0,4,10,7,5,39.9721745058701,0.000494795836669336,0.103321271928828
"BIRC6",0.000157418,1,1,3,0,0,2,11,46,17,11,39.1732958693155,0.000511876167600747,0.108531514096589
"GALNTL4",3.22e-05,1,1,3,0,0,1,1,12,3,3,38.8471656017704,0.000518815052041633,0.113499772969633
"WDFY3",0.0001332,1,2,2,1,0,1,6,32,8,11,37.9454553188698,0.000542300507072325,0.118330116111499
"MTMR12",2.897e-05,1,1,0,1,0,0,2,9,0,2,36.9172721585008,0.000562583400053376,0.123056595882845
"EP400",0.000163178,1,1,1,8,9,1,8,48,33,19,36.8329840900682,0.000563650920736589,0.127552957104889
"ZNF774",1.92e-05,0,4,2,4,3,1,2,16,1,1,35.708277041276,0.000598879103282626,0.131987823606851
"DPP3",3.99e-05,1,0,3,1,0,1,4,24,12,5,35.0572118299291,0.000620763277288497,0.136301822190188
"FCRL6",1.576e-05,1,4,3,1,2,0,3,10,1,0,34.6156847069515,0.00063303976514545,0.140474966117705
"SMURF1",3.65e-05,1,2,0,0,0,0,0,8,1,1,33.8710237222582,0.000655457699492928,0.144562932279437
"TTLL3",3.67e-05,0,3,1,2,4,2,1,25,7,4,33.3872825615699,0.000670402989057913,0.148535962373326
"UTP6",2.181e-05,1,2,2,1,0,0,3,4,2,4,32.8478323854249,0.000684814518281292,0.152411330230684
"CARKD",2.067e-05,1,0,1,5,4,0,5,13,3,4,32.6380202864991,0.000691219642380571,0.156148696013506
"DNAH10",0.000191867,0,9,14,11,3,1,36,112,29,32,32.5536059202517,0.000692287163063784,0.159739105211583
"PPM1D",2.315e-05,1,1,1,2,1,0,1,6,2,6,32.4051474174475,0.000696023485455031,0.163200817587101
"PHF15",4.06e-05,1,2,0,0,0,0,1,9,2,2,32.246120765258,0.000703496130237523,0.166543310975314
"S100G",2.123e-06,1,1,0,0,0,0,0,0,0,0,30.1005138721282,0.000793701627969042,0.170058689808367
"KIAA0182",6.99e-05,0,0,4,1,0,3,17,66,20,19,29.7324218917007,0.000810248198558847,0.173490631017945
"CSNK1E",2.441e-05,0,0,0,1,0,2,1,3,1,0,29.5284628220079,0.000819855884707766,0.176820523156798
"KIAA0100",8.8e-05,1,3,6,4,0,0,7,41,14,13,29.1438523440268,0.000836402455297571,0.180080896122461
"CACNA1D",0.0001008,0,0,1,0,0,3,15,31,9,15,28.273823599926,0.000889244729116627,0.183348709677144
"RAB2A",7.59e-06,1,0,0,1,0,0,0,0,0,0,28.2154707538249,0.00089351481184948,0.186506313965988
"PCOLCE",2.191e-05,1,1,1,1,0,0,1,11,4,2,28.0944566712754,0.000904723779023219,0.189568776508344
"MYOC",2.059e-05,1,2,5,4,2,0,4,10,5,6,27.9529660304449,0.000914331465172138,0.192544157412764
"SLCO1B1",2.259e-05,0,1,5,8,2,1,3,3,9,5,27.8986690677039,0.000916466506538564,0.195424656909945
"SLC6A1",3.003e-05,0,1,0,0,0,2,2,3,1,1,27.2896748498153,0.000952228449426208,0.198293923431579
"ATP1B1",1.265e-05,1,1,0,0,0,0,0,4,1,1,26.8898370018834,0.000985855350947425,0.201124658244364
"SCARA3",2.697e-05,1,0,1,2,0,0,5,16,7,2,26.5160478303736,0.00100667200427008,0.203916059816588
"KRT34",2.11e-05,0,1,2,1,0,2,3,24,8,6,25.9377907134335,0.0010568454763811,0.206700675238954
"BRWD1",7.83e-05,1,2,0,1,1,0,12,28,13,3,25.2134842305911,0.00110968775020016,0.209502792637895
"KDM5B",6.13e-05,1,1,7,3,1,1,9,17,8,11,24.781821399204,0.00114758473445423,0.212281247641258
"PRPF39",1.987e-05,1,0,0,1,0,0,0,1,1,0,24.6971869429182,0.00115612489991994,0.214986706125312
"SIX2",2.168e-05,1,1,0,0,0,0,1,3,5,5,24.1665993088168,0.00120362957032293,0.217688515190202
"KIRREL3",4.14e-05,0,1,0,0,0,2,3,24,2,7,23.7246671864185,0.00124526287696824,0.220375531576331
"FAM190A",2.349e-05,1,1,0,0,0,0,8,20,4,4,23.5969896446788,0.0012580731251668,0.223002537204418
"GGNBP2",2.54e-05,1,1,0,0,0,0,0,1,3,1,23.1597056655259,0.00130184147317854,0.22561852660901
"NRXN1",7.4e-05,1,1,2,0,1,1,6,38,6,7,23.1441332301427,0.00130451027488658,0.228162086352986
"WHSC1",2.556e-05,1,1,0,0,0,0,4,13,7,3,23.1127674031792,0.00130717907659461,0.230638595076955
"KLC1",2.557e-05,1,0,0,1,0,0,0,4,4,1,23.1009293239654,0.00130824659727782,0.233048025277122
"RANBP17",3.83e-05,1,2,9,6,1,0,8,25,8,9,23.0724368120607,0.00130984787830264,0.235395515299788
"LEO1",2.589e-05,1,1,0,0,0,0,3,11,1,3,23.0375032444914,0.00131251668001068,0.237684492298428
"PTPRM",6.46e-05,0,2,2,1,0,2,9,36,8,5,23.0289827078475,0.00131251668001068,0.239913618309749
"KDM4B",6.44e-05,1,0,0,0,0,1,4,23,4,6,22.6639510956189,0.00135041366426475,0.242134815524452
"SETBP1",6.44e-05,1,0,0,0,0,1,6,18,8,6,22.5442402445245,0.00135948759007206,0.244314949074609
"SRPK2",2.798e-05,1,1,0,0,0,0,0,8,3,0,22.4660387799368,0.00136535895382973,0.246449961594779
"ZNF559",2.309e-06,0,10,7,1,0,0,2,20,12,6,22.4203516516113,0.00136856151587937,0.248537161501318
"CSDE1",3.048e-05,1,1,0,0,0,0,2,5,6,1,21.9173389400631,0.00142087002935682,0.250640996794152
"JUP",4.34e-05,1,1,1,1,0,0,6,23,5,4,21.8903754799333,0.00142620763277288,0.252696580181937
"QRICH1",3.065e-05,1,1,0,0,0,0,2,3,2,0,21.799885208646,0.00143741659994662,0.254714313927687
"GSDMC",1.8e-05,1,4,5,0,0,0,3,15,3,3,21.1630235099401,0.00151160928742994,0.256770544370336
"AGAP2",4.87e-05,0,1,0,0,0,2,5,11,1,1,21.0589873574708,0.00151801441152922,0.25879216238934
