Gene mut_lof mut_mis3 dn_lof dn_mis3 cc_case1 cc_case2 cc_control1 cc_control2
G1 9.9966568795329e-07 4.54062e-07 0 0 0 0 0 0
G2 1.42049091705325e-07 1.04146e-10 0 0 0 0 0 0
G3 2.14431799247605e-06 3.35199e-06 0 0 0 0 0 0
G4 3.98179680182521e-06 7.82154e-06 0 0 0 0 0 0
G5 9.14697951316e-08 1.04146e-10 0 0 0 0 0 0
G6 3.77992888639024e-06 2.85364e-06 0 0 0 0 0 0
G7 3.6329179644879e-07 1.04146e-10 0 0 0 0 2 0
G8 7.36749255349835e-07 1.04146e-10 0 0 0 0 0 0
G9 4.84938030261842e-07 2.12507e-06 0 0 0 0 0 0
G10 5.7164193946073e-07 2.10629e-06 0 0 0 0 0 0
G11 1.98187457099816e-06 2.36438e-06 0 0 0 0 0 0
G12 1.60348122273879e-06 6.70801e-06 0 0 0 2 0 0
G13 3.80710333894948e-07 1.04146e-10 0 0 0 1 1 4
G14 7.18550540771185e-07 2.12264e-06 0 0 0 0 0 0
G15 1.13676902577344e-06 1.64558e-06 0 0 0 0 0 0
G16 5.1265445266222e-07 1.46557e-08 0 0 0 1 0 1
G17 6.1060617629104e-07 1.70049e-06 0 0 0 0 0 0
G18 1.06661239974074e-06 3.35852e-06 0 0 0 0 0 0
G19 4.50350926469197e-07 1.42418e-06 0 0 0 0 0 0
G20 1.0953856707412e-06 1.22647e-06 0 0 0 0 0 0
G21 2.52547877951281e-06 2.38746e-06 0 0 0 0 2 0
G22 3.93579756044543e-07 1.12156e-06 0 0 0 0 0 0
G23 9.9657013687098e-07 2.9183e-06 0 0 0 0 0 0
G24 5.53359162649175e-07 2.02041e-06 0 0 0 0 0 0
G25 6.0630052175568e-07 3.21339e-06 0 0 0 2 0 3
G26 3.5892935498889e-07 1.04146e-10 0 0 0 0 0 0
G27 2.97412608000551e-06 1.04958e-05 0 0 0 0 0 0
G28 3.18458006807152e-06 9.1222e-06 0 0 7 0 16 0
G29 1.05070085513065e-06 1.04146e-10 0 0 0 0 0 0
G30 2.18481476005696e-06 6.97803e-06 0 0 0 0 0 0
G31 9.005474461916e-07 1.70302e-06 1 0 0 0 0 0
G32 2.01165254269877e-06 7.57487e-06 0 0 0 0 0 0
G33 1.59047489301382e-06 1.04146e-10 0 0 28 0 40 0
G34 2.35391744947406e-06 6.78647e-06 0 0 0 0 0 0
G35 2.29555175437436e-07 1.04146e-10 0 0 0 0 0 0
G36 1.63912117047712e-06 6.71212e-06 0 0 0 0 0 0
G37 5.8747671186375e-06 1.63726e-05 1 0 0 0 0 0
G38 4.12533594412494e-06 1.04146e-10 0 0 0 0 0 0
G39 9.134677247118e-08 1.04146e-10 0 0 0 0 0 0
G40 6.68889848433295e-06 1.16029e-05 0 0 0 0 0 0
G41 9.42292252286165e-06 1.01192e-05 0 0 0 14 0 14
G42 7.3480771891442e-07 1.04146e-10 0 0 0 0 0 0
G43 5.42364453615675e-06 2.46563e-06 0 0 0 10 0 6
G44 3.68585268993631e-06 1.496e-05 0 0 0 0 0 0
G45 5.94515047348635e-06 1.40623e-05 0 0 0 0 0 0
G46 4.34729569887361e-06 6.09742e-06 0 0 0 4 0 5
G47 3.70461868747216e-06 4.05259e-06 0 0 8 0 9 0
G48 5.11465923858585e-06 1.04146e-10 0 0 0 1 0 7
G49 3.91951322683487e-06 5.31183e-06 0 0 0 0 0 0
G50 4.49757097212515e-06 4.66181e-06 0 0 0 0 0 0
G51 3.36758548465779e-06 9.90375e-06 0 0 26 30 35 43
G52 1.51768152166022e-06 5.41074e-06 0 0 0 0 0 0
G53 3.23534983777815e-06 9.53304e-06 0 0 0 0 0 0
G54 3.46634216731508e-06 1.01733e-05 0 0 0 0 0 0
G55 3.99014045971478e-06 4.90227e-06 0 0 0 0 1 0
G56 2.51347067773598e-06 9.02535e-06 0 0 3 0 0 0
G57 1.74975238232126e-06 8.32576e-06 0 0 0 0 0 0
G58 1.39314312510681e-06 7.99562e-06 0 0 0 0 0 0
