Gene yMis3 yLoF t.case t.control bfAll BF qvalue
CHD8 3 12 0 0 865666385475372416 871522784818465152 0
SCN2A 5 6 1 0 239287353469.666 77302485231.4113 1.33534017177084e-10
SYNGAP1 1 7 0 0 7485507563.03914 7536148459.24401 1.00217800724778e-09
ARID1B 0 7 0 0 1656191774.61725 1667396230.03292 3.84703172096046e-09
ADNP 0 5 1 0 14888793.730471 4809868.72383612 8.61518228134628e-07
CHD2 0 5 0 0 2266652.92585647 2281987.2681952 2.22574299139448e-06
PTEN 5 2 1 0 3636103.52234357 1174653.9662886 4.41850802098845e-06
ANK2 2 4 0 0 407536.640925005 410293.704565508 1.01555863181446e-05
KDM5B 3 3 0 1 151763.631359108 196352.028895051 2.07085040221994e-05
DYRK1A 0 4 0 0 175695.461913119 176884.075454081 3.0307789718953e-05
TBR1 4 2 0 0 145416.73891827 146400.51108335 4.03704935636967e-05
DSCAM 0 4 1 0 250378.998749122 80885.6739498067 5.82706133531175e-05
NRXN1 1 3 0 0 14927.2026073915 15028.1879996984 0.000159316613125387
SUV420H1 0 3 0 0 7523.04202960962 7573.93685368907 0.000342107439735808
SHANK3 0 3 0 0 6284.28135547661 6326.79572569997 0.000536133301784221
POGZ 0 3 2 0 58693.9627273389 5572.96310199832 0.000733301454061218
GIGYF1 0 3 2 0 54858.0309600925 5208.74325369884 0.00092239458260306
HIVEP3 0 3 0 1 3410.85245707387 4412.96636229921 0.001129843758774
ASH1L 0 3 0 0 2440.36136849908 2456.87088181181 0.00150895473035854
PAX5 1 2 0 0 1307.31016175984 1316.15436606418 0.0022056879895396
KDM6B 1 2 0 0 657.973180895487 662.424495823527 0.00353988834228786
LAMC3 1 2 0 2 388.361260871248 635.441703852835 0.0048092983969639
TRIP12 1 2 0 0 480.958241353773 484.212016221296 0.00637814661715863
KCNS3 0 2 0 0 401.459117901794 404.175065931898 0.00813726941653411
ILF2 0 2 0 0 360.1617710927 362.598334640765 0.00996654754129386
KATNAL2 0 2 0 0 352.529286936625 354.914215263607 0.0116975038771271
BCL11A 0 2 0 0 346.987809414272 349.335248581613 0.0133309419290164
WAC 0 2 0 0 344.855320197907 347.188332666168 0.0148593375204523
SPAST 0 2 0 0 327.758700356803 329.97605090855 0.0163773359400264
MBD5 0 2 0 0 308.396821060206 310.483184780194 0.0179096753253771
GRIN2B 0 2 1 0 948.488587438796 306.412035402215 0.0193681893006073
CNOT3 0 2 0 0 290.417335684806 292.382064733391 0.0208239592657301
PHF2 0 2 0 0 282.718713900367 284.631360294113 0.0222422427332787
TCF7L2 0 2 0 2 164.228895497624 268.713436924073 0.0236865169393422
RANBP17 0 2 0 3 123.740266208862 252.22435334496 0.0251714447757699
FOXP1 0 2 0 0 244.548702223291 246.203121157749 0.0266212985524301
ASXL3 0 2 0 0 241.159180940749 242.790669112797 0.0280198676365838
ZC3H4 0 2 0 0 241.037298246532 242.667961858746 0.0293457888917375
MLL5 0 2 0 1 175.049939533392 226.47989164154 0.0307354054627413
NCKAP1 0 2 0 0 214.705057532694 216.157578479551 0.0321465806048776
CACNA2D3 0 2 0 0 211.921034551522 213.354721048259 0.0335143880350214
TNRC6B 0 2 0 0 177.093190666982 178.291260111389 0.0351873086999871
WDFY3 1 2 1 0 495.677103141963 160.129949993524 0.0370248800293399
DIP2A 0 2 0 1 120.797909485082 156.288528425839 0.0388352769750805
ANKRD11 0 2 0 0 153.758952665507 154.799161508652 0.0405872236246206
MED13L 0 2 0 0 149.299742724601 150.309784156135 0.0423301761028747
MYT1L 2 1 0 0 141.603912685769 142.561890349158 0.0441209383271932
SETD2 0 2 0 0 137.758330399305 138.690291960008 0.0459011199287144
RIMS1 0 2 0 1 91.4234402829306 118.283793207625 0.0479970447841219
ZFYVE26 2 1 1 4 92.5715610498763 86.8077197386228 0.0508797274230614
MLL 0 2 0 0 69.6404280413796 70.1115589110509 0.0543424162270736
