Gene dn_damaging_DD dn_lof_DD X1 X2 BF qvalue
ANKRD11 0 32 0.138484526912609 1.29332997340143e+62 1.79106189508394e+61 0
ARID1B 0 30 0.175432318712653 1.35763181526154e+58 2.381724973094e+57 0
MLL 1 26 2.51249127738361 1.66336910082567e+48 4.17920035689392e+48 0
ADNP 1 19 14.6066066702018 6.28275778506626e+36 9.17697717706109e+37 0
DYRK1A 4 14 125641.910026073 5.83897491988551e+26 7.33619961528755e+31 0
MED13L 5 13 346495.969414271 7.55943037142963e+23 2.61931215476819e+29 0
SETD5 2 14 173.12728340907 1.21735874658298e+26 2.10758012730182e+28 0
ASXL3 0 14 0.96333587968234 1.4862523755669e+26 1.43176023964671e+26 0
EP300 3 12 532.107793141939 1.80976882217363e+21 9.62992094063895e+23 0
SYNGAP1 0 13 0.167127777118473 2.20339356130395e+24 3.68248268017886e+23 0
TCF4 4 9 67765.9768464491 48919342588704120 3.31506703720963e+21 0
CTNNB1 0 11 0.364444274967145 6.45208084553434e+20 2.35142392578017e+20 0
SATB2 4 8 191169.59654481 1051852315200456 2.01082182721595e+20 0
FOXP1 4 8 101426.869378973 366769716434917 37200304121007415296 0
PURA 3 7 4969.25810950862 29105563101930.5 144633055476083008 1.48029736616688e-17
STXBP1 6 5 41771209.6150346 1408318571.44765 58827170252685824 4.85722573273506e-17
SCN2A 9 4 28136905816.9766 1827470.49005375 51419365061946408 8.48994077654531e-17
PPP2R5D 12 0 26879288687314064 0.269336980729458 7239586459196637 3.39234813079909e-16
AHDC1 0 8 0.999980729074914 584809433897966 584798164079175 3.36572874833732e-15
KANSL1 0 8 0.459998830046594 397073584337389 182653384237606 1.24678045665405e-14
EHMT1 2 7 63.5630383171442 2732202547731 173667095231624 2.11576787835708e-14
KAT6B 0 8 0.255962469719652 141446029730318 36204875101811.5 6.26872291449713e-14
KAT6A 0 8 0.231615610599946 75794997556343 17555304639433.8 1.43778708745587e-13
GATAD2B 0 7 0.706690922335746 11742602036789.2 8298390264000.17 3.07716814991939e-13
HNRNPU 0 7 0.415118339881338 7673009077922.25 3185206790321.52 7.20410398002969e-13
NSD1 1 7 3.44025581019196 439819006442.969 1513089892348.28 1.55296715658e-12
MEF2C 4 4 84207.4123560507 17253939.9509494 1452909636216.13 2.3581671594865e-12
CREBBP 7 3 51281344.9081718 5867.32480611568 300884307070.691 6.2910589436273e-12
KCNQ2 9 0 1055069950501.42 0.237859709188116 250958631599.388 1.07243218137349e-11
SLC6A1 6 2 66669627.2191997 2487.69622349441 165853779854.983 1.71686627877439e-11
WDR45B 0 6 0.744651343024264 212273468823.205 158069723647.619 2.35213855561259e-11
POGZ 0 6 0.736671662357596 28230963809.8734 20796951039.7766 7.36399587142333e-11
PACS1 8 0 39354907893.4658 0.173160998911756 6814735162.91269 2.21898765355654e-10
CHD2 0 6 0.999980729074914 5933157196.3715 5933042858.94364 3.83142635265569e-10
TBL1XR1 2 4 321.13038022289 18264637.7068249 5865330051.42603 5.37054067883957e-10
SMARCA2 9 0 79760665604.7646 0.0342794129657289 2734148794.68714 8.65968334077631e-10
CHAMP1 0 5 0.887962633961549 2164172724.81873 1921704513.07778 1.31853769644383e-09
PPM1D 0 5 0.511620318190803 1277959848.6708 653830224.412025 2.64598288893394e-09
ZBTB18 1 4 15.4991242139733 31044314.2282118 481159682.360673 4.38164331313555e-09
TCF20 0 5 0.653066740476573 416292250.741907 271866623.277673 7.38421663537547e-09
NFIX 1 4 6.59341694234262 22104363.1274001 145743282.343893 1.28677974508835e-08
MSL3P1 0 4 0.999980729074914 58016484.1356755 58015366.104356 2.64506750312167e-08
BCL11A 2 3 198.816397949267 237524.0281791 47223671.7089689 4.2501988078851e-08
EBF3 2 3 200.379657710201 204173.040347989 40912123.9385811 6.03364052558836e-08
GNAO1 4 1 111665.563084004 39.6005694718406 4422019.88852032 2.29068435846851e-07
WAC 1 3 19.4306485814431 163336.903271834 3173741.96785618 4.55901488184273e-07
AUTS2 0 4 0.473725049695336 6477653.78950615 3068626.86334298 6.8085372752243e-07
HECW2 5 1 766243.162014533 3.18399379289874 2439713.47170537 9.55660998928446e-07
