Gene dn_silentCFPK dn_damaging dn_lof mut_silentCFPK mut_damaging mut_lof caseData1 caseData2 caseData3 controlData1 controlData2 controlData3 BF_dn_silentCFPK BF_dn_MiD BF_dn_lof BF_cc_MiD_lof_pop1 BF_cc_MiD_lof_pop2 BF_cc_MiD_lof_pop3 BF qvalue
SETD1A 1 0 3 2.09221e-05 9.7792e-06 3.43425073986938e-06 3 0 1 1 1 1 1.20289607259943 0.99074883232194 2143.71351315743 2.01147868473862 0.661224843302648 1.02122969537149 3470.135662749 0.00329857776494946
TAF13 0 0 2 1.58545e-07 6.95729e-07 6.2473581212546e-07 1 0 0 0 0 0 0.999925967045153 0.999336390293891 161.212252128275 1.39641941261819 0.98660872036582 0.999384216387138 221.804783322307 0.0262633635980963
RB1CC1 0 0 1 1.11606e-10 4.0767e-06 3.9920418050374e-06 3 2 0 0 0 1 0.999999947881432 0.996123433940467 11.0183901570802 3.00671168835958 2.05544352458945 0.990839023890334 67.2096630669804 0.0661546597143137
PRRC2A 0 0 1 4.70203e-06 7.68683e-06 7.1657064160196e-06 3 3 1 0 1 1 0.997809069296828 0.992714429304763 10.1354693581004 3.00671168835958 1.7970395252884 1.02122969537149 55.3972870251552 0.0925440217274918
VPS13C 0 0 1 6.98249e-07 1.95656e-05 9.843031003295e-06 11 5 6 8 3 12 0.999674033910582 0.981653718505266 9.45099499579499 2.93655341840317 1.43843670207148 1.08499668399612 42.5061071704721 0.116577494819978
MKI67 0 0 2 1.11606e-10 1.79116e-06 4.91777865545363e-06 0 0 1 3 1 0 0.999999947881432 0.998293232033652 142.356763399331 0.429042751396133 0.661224843302648 1.03076711477341 41.557220772681 0.133234025886619
RARG 0 0 1 2.99781e-06 6.42486e-06 1.52498454038993e-06 1 2 0 0 0 0 0.998602036563514 0.993903552967547 11.7632567160882 1.39641941261819 2.05544352458945 0.999384216387138 33.4902336842596 0.150679556371905
ITSN1 0 0 1 1.11606e-10 1.63223e-05 5.7440502408574e-06 5 2 1 4 0 4 0.999999947881432 0.984650075781337 10.5209627261753 1.40650174964461 2.05544352458945 0.994340117915832 29.7795523629074 0.166634044787048
KIAA1109 0 0 1 1.11606e-10 8.32013e-06 1.26283047541257e-05 6 3 0 6 0 2 0.999999947881432 0.992118711950593 8.79248865060478 1.03435017672255 3.08911640345644 0.982564003058375 27.3866020080164 0.180946810320974
DARC 0 0 1 1.11606e-10 1.04146e-10 3.91316944884325e-07 2 0 0 0 0 0 0.999999947881432 0.99999990059917 12.123976145297 2.02750376044662 0.98660872036582 0.999384216387138 24.2372929295094 0.195001770952142
