Gene	mut.rate	dn.LoF	trans.LoF	nontrans.LoF	case.LoF	ctrl.LoF	dn.mis3	trans.mis3	nontrans.mis3	case.mis3	ctrl.mis3	p.dn	p.TADA	p.TADA.LoF	q.TADA
KATNAL2	1.80E-05	2	1	0	4	0	0	2	3	4	5	3.08E-06	1.50E-06	2.00E-07	0.026364
CHD8	0.000100458	2	0	0	3	0	0	4	6	9	9	9.51E-05	1.28E-05	2.40E-06	0.1124864
LMCD1	1.42E-05	0	2	0	0	0	0	4	0	9	0	1	1.67E-05	0.0669	0.097839733
S100G	3.01E-06	1	0	0	3	0	0	0	0	0	0	0.000415101	2.07E-05	1.65E-05	0.0909558
DYRK1A	3.01E-05	2	0	0	0	0	0	0	4	4	1	8.60E-06	5.64E-05	4.30E-06	0.19825728
C1orf95	5.70E-06	0	0	0	11	0	0	0	0	0	0	1	7.11E-05	7.74E-05	0.2082756
PPM1D	2.36E-05	1	0	0	2	0	0	0	0	2	0	0.003249997	7.86E-05	0.000229	0.197353371
SCN2A	7.89E-05	2	0	0	0	0	1	8	7	5	5	5.88E-05	8.38E-05	2.78E-05	0.1841086
CUL3	2.92E-05	1	0	0	3	0	0	0	0	1	0	0.004019631	8.56E-05	0.000131	0.167167289
DEAF1	2.20E-05	0	2	0	1	0	0	1	0	8	0	1	0.0001042	0.0311	0.18314192
BANK1	3.01E-05	0	1	0	4	0	0	7	0	6	2	1	0.000108	0.00644	0.172564364
POGZ	5.62E-05	2	0	0	0	0	0	4	1	3	5	2.99E-05	0.000118	1.36E-05	0.172830667
WDR55	1.49E-05	0	1	0	0	0	1	0	0	6	0	1	0.000119	0.178	0.160888
FAM91A1	3.31E-05	1	0	0	0	0	0	12	1	2	2	0.004555275	0.000161	0.00187	0.202124
COL25A1	2.46E-05	1	0	0	5	0	0	5	3	4	4	0.003387475	0.000164	2.26E-05	0.192164267
PARP10	4.02E-05	0	1	0	6	0	0	2	0	8	2	1	0.000191	0.00154	0.2098135
RNF38	2.10E-05	1	0	0	0	0	0	0	0	2	0	0.002892465	0.000204	0.00118	0.210912
ABCA13	0.000198874	0	4	4	13	2	2	28	24	130	87	1	0.000224927	0.0527	0.219629049
DSTYK	3.65E-05	0	0	0	1	0	0	2	2	17	1	1	0.000253	0.161	0.234038316
PRPF39	2.56E-05	1	0	0	0	0	0	1	0	1	0	0.003524934	0.000268	0.00145	0.2355184
TBR1	2.74E-05	1	0	0	0	0	1	0	1	4	1	0.003772313	0.000368	0.00185	0.307998476
RAB2A	8.18E-06	1	0	0	0	0	0	0	0	0	0	0.00112768	0.000394	0.000565	0.314770182
PIWIL4	3.35E-05	0	0	0	1	0	1	7	2	15	4	1	0.00041	0.167	0.313311304
MED13L	8.77E-05	1	0	0	3	0	0	1	0	5	2	0.012024113	0.000425	0.000383	0.311241667
MTHFS	7.83E-06	1	0	0	0	0	0	2	1	0	0	0.001079456	0.000444	0.000516	0.31214976
NFIA	2.21E-05	1	0	0	0	0	0	1	0	0	0	0.003043744	0.000468	0.00132	0.316368
NR3C2	3.90E-05	1	0	0	1	1	1	0	0	4	0	0.00536506	0.000573	0.0685	0.373001778
ZNF493	2.99E-05	0	1	0	8	0	0	1	1	8	10	1	0.000578	0.000344	0.362818857
CCDC138	2.58E-05	0	0	0	2	0	0	4	1	7	0	1	0.000585	0.0695	0.354550345
PRIM2	2.00E-05	0	7	0	1	1	0	2	0	5	0	1	0.000588	0.0172	0.3444896
ZMYM2	5.37E-05	1	0	0	1	0	0	0	0	4	1	0.007379798	0.000649	0.00125	0.367962065
ZMYND11	2.28E-05	1	0	0	0	0	0	1	0	2	1	0.003140001	0.000653	0.00145	0.35866025
TSPAN17	1.34E-05	1	0	0	0	0	0	0	0	2	1	0.001846635	0.000655	0.000964	0.34885697
ADNP	4.30E-05	1	0	0	3	0	0	2	1	6	11	0.005913693	0.000672	0.000199	0.347384471
CST8	5.52E-06	0	1	0	0	0	0	4	0	4	0	1	0.000674	0.173	0.338463543
SRSF12	1.02E-05	0	2	0	0	0	0	0	0	7	0	1	0.000695	0.0638	0.339314444
ATP1B1	1.17E-05	1	0	0	0	0	0	0	0	1	1	0.00161255	0.000696	0.000765	0.330618811
UBR3	7.40E-05	1	0	0	1	0	0	2	0	3	1	0.010155347	0.000712	0.00174	0.329318737
SLC5A8	2.45E-05	0	0	0	0	0	0	6	0	6	1	1	0.000776	0.524	0.349717333
MYLK3	3.15E-05	0	0	0	1	0	0	4	0	13	3	1	0.000789	0.185	0.3466866
TMEM132B	4.22E-05	0	0	0	0	0	0	1	1	14	1	1	0.000842	0.488	0.360951024
CD274	1.12E-05	0	0	0	0	0	0	2	0	6	0	1	9.00E-04	0.494	0.376628571
DCBLD2	3.06E-05	0	0	0	1	0	0	7	1	15	4	1	0.00093	0.158	0.380132093
SLC38A8	1.79E-05	0	0	0	1	0	0	5	1	14	3	1	0.001017	0.186	0.406245273
FAM8A1	1.65E-05	1	0	0	0	0	0	1	0	0	1	0.002273356	0.001019	0.00106	0.397998756
TCHHL1	3.37E-05	0	0	0	8	0	0	0	0	11	13	1	0.001032	0.000733	0.394313739
APH1A	1.10E-05	1	0	0	0	0	0	0	0	0	1	0.001516145	0.00104	0.000779	0.388915745
PDCD1	1.16E-05	1	0	0	0	0	0	0	0	0	1	0.001598778	0.00107	0.000772	0.391798333
MTMR12	2.93E-05	1	0	0	1	0	0	5	9	9	8	0.004033369	0.00108	0.000653	0.387389388
OXGR1	1.38E-05	0	1	0	7	0	0	6	2	4	7	1	0.001123	0.000642	0.39475696
CACNA2D3	4.26E-05	1	1	0	0	0	0	3	1	19	13	0.005858843	0.001137	0.00103	0.391841412
CBX4	2.17E-05	1	0	0	0	0	0	0	0	1	1	0.002988736	0.00115	0.00152	0.3887
SERINC5	1.86E-05	0	0	0	0	0	0	2	0	6	0	1	0.00118	0.488	0.391314717
CCDC33	2.94E-05	0	0	0	2	0	0	1	0	9	1	1	0.001204	0.0687	0.391879704
TEX2	4.43E-05	0	1	0	1	0	0	3	0	18	5	1	0.001212	0.0685	0.387311127
DPP7	1.97E-05	0	1	0	6	0	0	7	4	22	31	1	0.0013	0.00163	0.408014286
SMAP1	1.81E-05	0	1	0	4	0	0	1	0	2	0	1	0.0013	0.00631	0.40085614
FAM184A	4.26E-05	0	2	0	1	0	0	1	0	13	3	1	0.00136	0.0299	0.412126897
OR1N2	1.37E-05	0	0	0	7	0	0	0	0	0	0	1	0.00138	0.00127	0.411099661
LENG9	1.99E-05	0	0	0	7	1	0	2	0	7	1	1	0.00139	0.0276	0.407177333
FCAR	1.14E-05	0	0	0	2	0	0	4	0	2	0	1	0.00142	0.0651	0.40914623
PCOLCE	1.81E-05	1	0	0	1	0	0	0	2	11	11	0.002493528	0.00142	0.000406	0.402547097
TCF3	2.59E-05	1	0	0	0	0	0	10	5	13	16	0.003566168	0.00144	0.00156	0.401737143
ZNF175	2.73E-05	0	0	0	5	0	0	1	0	2	0	1	0.00145	0.00645	0.39820625
ETFB	1.34E-05	1	0	0	1	0	0	0	2	12	10	0.001846635	0.00146	0.000298	0.394784
TNC	8.61E-05	0	0	0	1	0	0	24	8	31	17	1	0.001498952	0.144	0.399175484
TEKT3	1.91E-05	0	0	0	3	0	0	1	0	4	0	1	0.00151	0.032	0.396115821
DLL1	2.86E-05	1	0	0	0	0	0	0	1	11	3	0.003937198	0.00152	0.00193	0.392875294
SETBP1	6.18E-05	1	0	0	0	0	0	1	1	17	7	0.008488215	0.00154	0.00398	0.392275942
RAD51AP1	1.35E-05	0	0	0	2	0	0	3	1	6	0	1	0.00159	0.0715	0.399226286
SMC3	4.55E-05	0	0	0	2	0	1	0	0	3	0	1	0.0016	0.0697	0.396078873
NAPRT1	2.14E-05	1	1	0	0	0	0	7	2	7	8	0.002947478	0.00162	0.000476	0.39546
SLC7A7	2.11E-05	1	0	0	1	0	0	1	2	6	1	0.002906218	0.00162	0.000444	0.39004274
ZNF33A	3.10E-05	0	0	0	7	0	1	5	1	13	12	1	0.00162	0.00129	0.384771892
TROVE2	2.08E-05	1	1	0	0	0	0	2	1	5	2	0.002864957	0.00164	0.000487	0.384328533
CLDN11	8.48E-06	0	0	0	0	0	0	5	0	2	0	1	0.00172	0.51	0.397772632
DUS2L	1.93E-05	0	0	0	1	0	0	1	0	6	0	1	0.00175	0.17	0.399454545
PAX5	1.55E-05	1	0	0	0	0	0	3	3	4	0	0.002135724	0.00179	0.00103	0.403346667
PHF2	4.27E-05	1	0	0	0	0	0	2	2	13	5	0.005872556	0.00179	0.00294	0.398241013
GLRA4	1.68E-05	0	0	0	1	0	0	0	0	10	1	1	0.00182	0.16	0.399854
LRRTM1	2.11E-05	0	0	0	8	0	0	0	1	1	1	1	0.00191	0.000711	0.41444642
NAA40	9.09E-06	0	0	0	0	0	1	1	0	1	0	1	0.00194	0.505	0.415822439
BCL11A	3.27E-05	1	0	0	0	0	0	2	1	2	1	0.00450035	0.00203	0.00216	0.429870843
SLC25A39	1.46E-05	1	0	0	0	0	0	2	2	1	0	0.002011839	0.00207	0.00104	0.433122857
ELOVL1	1.15E-05	0	0	0	0	0	1	1	0	1	0	1	0.00215	0.491	0.444569412
VCP	3.14E-05	1	0	0	0	0	0	0	1	1	0	0.004321824	0.00228	0.0021	0.465968372
OR2AE1	1.34E-05	0	0	0	1	0	0	0	4	18	0	1	0.0023	0.138	0.464652874
SNIP1	1.50E-05	0	0	0	0	0	0	1	0	6	0	1	0.0023	0.452	0.459372727
FAM13A	3.93E-05	0	1	0	6	0	0	1	1	10	9	1	0.00231	0.00155	0.456186067
FREM2	0.000125173	0	0	0	2	1	0	11	2	52	28	1	0.002399163	0.386	0.468529824
OR6K6	1.42E-05	0	0	0	0	0	0	4	6	37	9	1	0.002471257	0.504	0.477305608
FGD3	2.83E-05	0	0	0	0	1	1	4	0	8	1	1	0.00248	0.791	0.473787826
GNAS	4.11E-05	0	0	0	1	0	1	5	0	1	1	1	0.00255	0.168	0.481922581
PTEN	1.56E-05	0	1	0	0	0	1	0	0	2	0	1	0.00255	0.159	0.476795745
TBK1	2.81E-05	0	0	0	0	0	0	1	0	6	0	1	0.00255	0.489	0.471776842
CD34	1.52E-05	0	0	0	4	0	0	1	0	5	1	1	0.0026	0.0129	0.476016667
GRIN2B	5.86E-05	1	0	0	1	0	0	1	1	0	0	0.00805047	0.00261	0.00127	0.472921237
SLC22A15	2.21E-05	0	0	0	4	0	0	3	0	0	0	1	0.00271	0.0109	0.486030204
SPAST	2.41E-05	1	0	0	0	0	0	1	1	2	1	0.003318738	0.00276	0.00146	0.489997576
LMTK3	5.91E-05	1	0	0	1	0	0	0	0	1	1	0.00811888	0.00277	0.00149	0.4868552
RAG2	2.08E-05	0	0	0	1	0	0	2	1	13	2	1	0.00277	0.166	0.482034851
VDR	1.71E-05	0	0	0	0	0	0	5	1	5	0	1	0.00284	0.49	0.48937098
CNR2	1.47E-05	0	0	0	2	0	0	3	0	2	0	1	0.00287	0.0711	0.489739029
C8orf34	2.10E-05	0	1	0	6	0	0	0	0	5	3	1	0.00288	0.00164	0.48672
DIP2A	6.22E-05	1	0	0	0	0	0	9	6	23	13	0.008542919	0.00289	0.00411	0.483758476
B9D1	8.09E-06	0	1	0	0	0	1	1	1	4	0	1	0.00301	0.152	0.499092075
SEC14L4	1.59E-05	0	2	0	4	0	0	1	1	4	1	1	0.00301	0.00295	0.494427664
CSTF2T	2.38E-05	1	0	0	0	0	0	1	0	1	2	0.003277494	0.00311	0.00163	0.506123704
MICALL2	3.56E-05	0	0	0	1	0	0	3	1	39	17	1	0.003113956	0.169	0.502118203
ACOT12	2.18E-05	0	1	0	3	0	0	2	0	11	4	1	0.00313	0.015	0.500117091
ROBO4	4.06E-05	0	2	0	4	0	0	4	2	19	18	1	0.00314	0.00335	0.497194955
IBSP	1.17E-05	0	0	0	1	0	0	6	1	11	3	1	0.0032	0.171	0.502171429
RNPC3	5.57E-06	0	0	0	0	0	0	3	0	3	0	1	0.00324	0.466	0.503949027
OR6P1	1.34E-05	0	4	0	9	2	0	1	2	7	1	1	0.00327	0.00466	0.504153684
TSR2	7.26E-06	0	0	0	0	0	1	0	0	0	0	1	0.0033	0.509	0.504354783
PPIAL4G	6.44E-06	0	0	0	0	0	0	6	0	0	0	1	0.00332	0.495	0.503037241
DCAF11	2.15E-05	0	0	0	2	0	1	3	0	4	2	1	0.00338	0.0698	0.507751111
ITGB3BP	6.74E-06	0	1	0	4	0	0	0	0	1	0	1	0.00339	0.00623	0.504937627
ZBTB17	3.10E-05	0	1	0	1	0	0	8	0	3	2	1	0.00345	0.0689	0.509556303
